subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub1,0.970873786407767,1,1,0.9583333333333334,0.6875,0.9514563106796117,0.9583333333333334,0.9375,0.9375,0.8333333333333334,0.9805825242718447,1,0.7083333333333334,0.8125,0.8125,0.8446601941747572
sub10,0.9902912621359223,0.9375,0.875,1,0.9375,0.941747572815534,0.9166666666666666,0.9375,1,0.7916666666666666,0.9902912621359223,0.75,0.7916666666666666,0.9375,0.6875,0.8737864077669902
sub11,0.9805825242718447,1,1,1,0.9375,0.970873786407767,0.9583333333333334,1,0.8125,1,0.970873786407767,0.9375,0.875,1,0.875,0.9514563106796117
sub12,1,1,1,1,0.8125,0.9514563106796117,1,1,1,0.9583333333333334,1,1,0.9166666666666666,0.875,0.875,0.912621359223301
sub13,0.9514563106796117,1,1,0.9166666666666666,0.875,0.7961165048543689,0.5833333333333334,0.875,1,1,0.9805825242718447,1,0.6666666666666666,0.8125,0.4375,0.8252427184466019
sub14,1,1,1,0.8333333333333334,0.75,0.941747572815534,0.8333333333333334,0.8125,1,0.9583333333333334,0.9805825242718447,0.875,0.7916666666666666,0.9375,0.9375,0.8737864077669902
sub15,0.9805825242718447,1,0.9375,0.9166666666666666,0.6875,0.7766990291262136,0.625,0.75,1,0.875,0.941747572815534,0.9375,0.5,0.625,0.75,0.6893203883495146
sub16,0.9320388349514563,1,1,0.9166666666666666,0.6875,0.9320388349514563,0.9166666666666666,0.875,0.875,0.9583333333333334,0.941747572815534,0.875,0.7083333333333334,0.9375,0.625,0.7184466019417476
sub17,0.9611650485436893,0.6875,0.9375,0.7083333333333334,0.8125,0.883495145631068,0.7916666666666666,0.9375,0.875,0.625,0.883495145631068,0.8125,0.5833333333333334,0.25,0.5625,0.6796116504854369
sub18,0.970873786407767,0.8125,0.8125,0.9583333333333334,1,0.9805825242718447,1,0.9375,1,1,0.9902912621359223,1,0.9583333333333334,0.8125,0.9375,0.9611650485436893
sub19,0.970873786407767,1,1,1,0.9375,0.9029126213592233,0.875,0.9375,0.9375,1,0.9805825242718447,1,0.7916666666666666,0.875,0.8125,0.9223300970873787
sub2,0.9805825242718447,0.9375,1,1,0.9375,0.9805825242718447,0.7916666666666666,0.9375,1,1,0.8932038834951457,1,0.75,1,0.6875,0.8446601941747572
sub20,0.883495145631068,0.875,0.75,0.9583333333333334,0.625,0.8155339805825242,0.5416666666666666,0.5625,0.6875,0.8333333333333334,0.9514563106796117,0.75,0.5416666666666666,0.75,0.4375,0.5339805825242718
sub21,1,1,0.9375,0.9583333333333334,0.75,0.9223300970873787,0.9166666666666666,1,1,0.9583333333333334,0.9805825242718447,0.9375,0.9166666666666666,0.875,0.625,0.9029126213592233
sub22,1,0.9375,1,1,0.5625,0.941747572815534,0.7916666666666666,0.875,0.9375,1,1,0.9375,0.5833333333333334,0.875,0.625,0.8252427184466019
sub23,0.970873786407767,1,1,0.9583333333333334,0.9375,0.9029126213592233,0.75,0.9375,0.9375,0.9166666666666666,0.970873786407767,1,0.6666666666666666,0.875,0.75,0.883495145631068
sub24,0.9611650485436893,0.8125,0.8125,0.875,0.9375,0.7864077669902912,0.7916666666666666,0.625,0.875,0.875,0.8737864077669902,0.8125,0.875,0.9375,0.8125,0.7864077669902912
sub25,0.9611650485436893,0.9375,1,0.9583333333333334,0.5,0.8737864077669902,0.5416666666666666,0.6875,0.9375,1,0.9320388349514563,0.875,0.5,0.6875,0.375,0.6990291262135923
sub26,0.970873786407767,1,0.9375,0.9166666666666666,0.625,0.8155339805825242,0.7083333333333334,0.5,0.875,0.9583333333333334,0.9029126213592233,0.8125,0.625,0.8125,0.5,0.5825242718446602
sub27,0.9902912621359223,1,1,0.9583333333333334,0.9375,0.9611650485436893,0.875,0.875,1,1,1,1,0.75,0.9375,0.8125,0.9514563106796117
sub28,1,1,0.9375,1,0.75,0.941747572815534,0.75,1,1,0.9583333333333334,0.9902912621359223,1,1,0.875,0.8125,0.912621359223301
sub29,0.9611650485436893,0.875,1,0.875,0.8125,0.8155339805825242,0.4166666666666667,0.875,1,0.9166666666666666,0.941747572815534,0.9375,0.7916666666666666,0.375,0.5,0.6699029126213593
sub3,0.970873786407767,0.9375,0.9375,0.875,0.5,0.912621359223301,0.5416666666666666,0.75,0.9375,0.9583333333333334,0.9805825242718447,1,0.6666666666666666,0.8125,0.625,0.8252427184466019
sub30,0.9611650485436893,1,1,0.7916666666666666,0.8125,0.7864077669902912,0.75,0.625,1,0.9583333333333334,0.8737864077669902,0.75,0.5416666666666666,0.6875,0.5625,0.6504854368932039
sub31,0.9902912621359223,1,1,1,0.8125,0.9320388349514563,0.7916666666666666,0.8125,0.875,0.8333333333333334,0.9902912621359223,0.875,0.8333333333333334,0.875,0.625,0.9029126213592233
sub32,0.9320388349514563,0.9375,1,1,0.625,0.941747572815534,0.8333333333333334,0.875,0.875,0.8333333333333334,0.9514563106796117,0.875,0.7083333333333334,0.75,0.8125,0.6019417475728155
sub33,0.912621359223301,0.875,1,0.875,0.875,0.8737864077669902,0.6666666666666666,0.8125,0.75,0.875,0.8640776699029126,0.875,0.8333333333333334,1,0.75,0.8349514563106796
sub34,0.8932038834951457,0.875,0.9375,0.7083333333333334,0.75,0.9320388349514563,0.875,0.8125,0.75,0.7083333333333334,0.9029126213592233,0.75,0.6666666666666666,0.875,0.6875,0.8155339805825242
sub35,1,1,0.875,1,0.9375,0.9320388349514563,0.9166666666666666,1,1,0.9583333333333334,0.8932038834951457,1,0.9583333333333334,1,0.8125,0.9805825242718447
sub36,0.9902912621359223,0.9375,1,0.9583333333333334,0.6875,0.970873786407767,0.8333333333333334,0.625,1,0.875,1,0.9375,0.375,0.875,0.5,0.7766990291262136
sub37,0.9223300970873787,0.9375,1,0.9583333333333334,0.75,0.9320388349514563,0.875,0.9375,1,0.8333333333333334,0.9902912621359223,1,0.7916666666666666,0.875,0.6875,0.8349514563106796
sub38,0.9514563106796117,1,1,0.9583333333333334,1,0.970873786407767,1,0.75,1,1,0.9805825242718447,1,0.7916666666666666,0.875,0.8125,0.941747572815534
sub39,0.970873786407767,0.9375,1,1,0.8125,0.9320388349514563,0.8333333333333334,0.875,1,0.9166666666666666,0.9611650485436893,1,0.8333333333333334,0.9375,0.6875,0.8252427184466019
sub4,0.9805825242718447,1,0.9375,0.9583333333333334,0.9375,0.941747572815534,0.875,0.75,1,0.9583333333333334,0.7961165048543689,1,0.8333333333333334,0.75,0.5,0.9805825242718447
sub40,1,1,1,1,1,0.9514563106796117,1,1,1,0.9583333333333334,1,0.9375,1,1,0.9375,0.9611650485436893
sub41,0.941747572815534,1,1,0.9583333333333334,0.875,0.9320388349514563,0.8333333333333334,0.9375,1,0.9583333333333334,0.941747572815534,0.9375,0.7083333333333334,0.8125,0.875,0.883495145631068
sub42,0.941747572815534,1,1,0.9583333333333334,0.9375,0.9611650485436893,0.75,1,0.75,0.8333333333333334,0.9611650485436893,0.875,0.7916666666666666,0.75,0.6875,0.7669902912621359
sub43,0.9611650485436893,0.875,1,1,0.875,0.9223300970873787,0.6666666666666666,0.9375,1,0.9583333333333334,0.9902912621359223,0.8125,0.625,0.75,0.6875,0.8058252427184466
sub44,0.8932038834951457,0.9375,0.8125,0.7916666666666666,0.75,0.883495145631068,0.5833333333333334,0.6875,0.625,0.7916666666666666,0.7669902912621359,0.625,0.6666666666666666,0.625,0.5625,0.5922330097087378
sub45,0.9223300970873787,0.875,0.875,0.75,0.75,0.9223300970873787,0.875,0.9375,1,0.75,0.8932038834951457,0.8125,0.7083333333333334,0.875,0.5,0.7766990291262136
sub46,0.912621359223301,0.9375,1,0.9166666666666666,1,0.8932038834951457,0.8333333333333334,0.875,0.8125,0.8333333333333334,0.9611650485436893,1,0.7916666666666666,0.75,0.6875,0.8737864077669902
sub47,0.9805825242718447,1,0.9375,1,1,0.883495145631068,0.75,0.8125,0.9375,1,0.9902912621359223,1,0.7916666666666666,0.5,0.8125,0.8640776699029126
sub48,1,0.875,0.9375,0.9583333333333334,0.8125,0.9320388349514563,0.9166666666666666,0.9375,1,0.6666666666666666,0.941747572815534,0.8125,0.7916666666666666,0.6875,0.75,0.7475728155339806
sub49,1,1,1,1,0.9375,0.9902912621359223,0.9583333333333334,0.75,1,1,1,0.875,0.8333333333333334,0.9375,1,0.8446601941747572
sub5,0.970873786407767,0.9375,1,0.9166666666666666,0.75,0.9805825242718447,0.875,1,1,0.9583333333333334,0.9805825242718447,1,0.6666666666666666,1,0.875,0.9223300970873787
sub50,0.9611650485436893,1,1,0.9583333333333334,0.5625,0.7669902912621359,0.625,0.5625,1,0.8333333333333334,0.9611650485436893,1,0.5416666666666666,0.625,0.5625,0.6310679611650486
sub51,0.9902912621359223,0.9375,1,1,0.9375,0.9223300970873787,0.9166666666666666,0.875,0.9375,0.9166666666666666,0.9611650485436893,1,0.875,0.75,0.8125,0.8446601941747572
sub52,0.9514563106796117,0.75,0.9375,0.9166666666666666,0.875,0.7766990291262136,0.625,1,0.875,0.6666666666666666,0.8737864077669902,0.9375,0.875,0.75,0.4375,0.9223300970873787
sub53,0.9805825242718447,1,1,0.9166666666666666,0.9375,0.9611650485436893,0.875,1,0.9375,1,0.9902912621359223,1,0.875,0.875,0.8125,0.9611650485436893
sub54,0.9611650485436893,0.9375,0.6875,0.875,0.8125,0.8349514563106796,0.9166666666666666,0.875,1,0.7916666666666666,0.7864077669902912,0.75,0.875,0.625,0.75,0.8252427184466019
sub55,0.970873786407767,0.9375,1,1,1,0.8932038834951457,0.8333333333333334,0.6875,1,0.9166666666666666,0.883495145631068,1,0.7083333333333334,0.9375,0.8125,0.8932038834951457
sub56,0.883495145631068,1,0.9375,0.9583333333333334,0.6875,0.8640776699029126,0.8333333333333334,0.875,0.9375,0.875,0.883495145631068,0.8125,0.5833333333333334,0.625,0.625,0.7669902912621359
sub57,0.8737864077669902,1,0.875,1,0.625,0.8932038834951457,0.75,0.75,0.75,0.9583333333333334,0.9611650485436893,1,0.5833333333333334,0.875,0.6875,0.8932038834951457
sub6,0.9611650485436893,0.9375,1,1,0.875,0.9514563106796117,0.875,0.9375,0.875,0.9166666666666666,0.9805825242718447,0.9375,0.7916666666666666,0.8125,0.875,0.7961165048543689
sub7,0.8640776699029126,0.8125,0.9375,0.9166666666666666,0.4375,0.8737864077669902,0.75,0.9375,0.6875,0.75,0.8737864077669902,0.9375,0.4583333333333333,0.625,0.5625,0.7572815533980582
sub8,0.9514563106796117,0.875,0.875,0.9166666666666666,0.9375,0.912621359223301,0.625,1,0.9375,0.9583333333333334,0.883495145631068,0.875,0.9583333333333334,0.9375,0.5,0.9320388349514563
sub9,0.941747572815534,1,1,1,0.875,0.9902912621359223,0.9583333333333334,0.75,1,1,1,0.875,0.875,0.875,0.9375,0.6310679611650486
