subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub36,n,r,75%,75%,0.9166666666666666
sub36,n,s,25%,25%,0.5
sub36,n,s,25%,75%,0.9166666666666666
sub36,n,s,75%,25%,0.6666666666666666
sub36,n,s,75%,75%,0.75
sub37,d,r,25%,25%,0.9166666666666666
sub37,d,r,25%,75%,1
sub37,d,r,75%,25%,1
sub37,d,r,75%,75%,0.9166666666666666
sub37,d,s,25%,25%,1
sub37,d,s,25%,75%,1
sub37,d,s,75%,25%,1
sub37,d,s,75%,75%,0.9166666666666666
sub37,n,r,25%,25%,1
sub37,n,r,25%,75%,1
sub37,n,r,75%,25%,1
sub37,n,r,75%,75%,1
sub37,n,s,25%,25%,0.9166666666666666
sub37,n,s,25%,75%,1
sub37,n,s,75%,25%,0.9166666666666666
sub37,n,s,75%,75%,1
sub38,d,r,25%,25%,1
sub38,d,r,25%,75%,0.9166666666666666
sub38,d,r,75%,25%,1
sub38,d,r,75%,75%,1
sub38,d,s,25%,25%,0.75
sub38,d,s,25%,75%,1
sub38,d,s,75%,25%,0.9166666666666666
sub38,d,s,75%,75%,1
sub38,n,r,25%,25%,1
sub38,n,r,25%,75%,0.9166666666666666
sub38,n,r,75%,25%,0.8333333333333334
sub38,n,r,75%,75%,1
sub38,n,s,25%,25%,1
sub38,n,s,25%,75%,1
sub38,n,s,75%,25%,0.9166666666666666
sub38,n,s,75%,75%,1
sub39,d,r,25%,25%,1
sub39,d,r,25%,75%,1
sub39,d,r,75%,25%,0.75
sub39,d,r,75%,75%,1
sub39,d,s,25%,25%,1
sub39,d,s,25%,75%,1
sub39,d,s,75%,25%,0.9166666666666666
sub39,d,s,75%,75%,0.9166666666666666
sub39,n,r,25%,25%,0.9166666666666666
sub39,n,r,25%,75%,1
sub39,n,r,75%,25%,1
sub39,n,r,75%,75%,0.9166666666666666
sub39,n,s,25%,25%,0.8333333333333334
sub39,n,s,25%,75%,1
sub39,n,s,75%,25%,0.9166666666666666
sub39,n,s,75%,75%,0.9166666666666666
sub4,d,r,25%,25%,1
sub4,d,r,25%,75%,1
sub4,d,r,75%,25%,1
sub4,d,r,75%,75%,1
sub4,d,s,25%,25%,1
sub4,d,s,25%,75%,1
sub4,d,s,75%,25%,1
sub4,d,s,75%,75%,1
sub4,n,r,25%,25%,1
sub4,n,r,25%,75%,1
sub4,n,r,75%,25%,1
sub4,n,r,75%,75%,1
sub4,n,s,25%,25%,1
sub4,n,s,25%,75%,1
sub4,n,s,75%,25%,1
sub4,n,s,75%,75%,1
sub40,d,r,25%,25%,0.9166666666666666
sub40,d,r,25%,75%,1
sub40,d,r,75%,25%,1
sub40,d,r,75%,75%,1
sub40,d,s,25%,25%,0.9166666666666666
sub40,d,s,25%,75%,0.9166666666666666
sub40,d,s,75%,25%,0.75
sub40,d,s,75%,75%,0.9166666666666666
sub40,n,r,25%,25%,0.9166666666666666
sub40,n,r,25%,75%,1
sub40,n,r,75%,25%,1
sub40,n,r,75%,75%,1
sub40,n,s,25%,25%,1
sub40,n,s,25%,75%,0.9166666666666666
sub40,n,s,75%,25%,1
sub40,n,s,75%,75%,1
sub41,d,r,25%,25%,1
sub41,d,r,25%,75%,1
sub41,d,r,75%,25%,1
sub41,d,r,75%,75%,1
sub41,d,s,25%,25%,1
sub41,d,s,25%,75%,1
sub41,d,s,75%,25%,1
sub41,d,s,75%,75%,1
sub41,n,r,25%,25%,0.8333333333333334
sub41,n,r,25%,75%,1
sub41,n,r,75%,25%,1
sub41,n,r,75%,75%,1
sub41,n,s,25%,25%,0.8333333333333334
sub41,n,s,25%,75%,0.9166666666666666
sub41,n,s,75%,25%,1
sub41,n,s,75%,75%,1
sub42,d,r,25%,25%,0.9166666666666666
sub42,d,r,25%,75%,0.9166666666666666
sub42,d,r,75%,25%,1
sub42,d,r,75%,75%,0.8333333333333334
sub42,d,s,25%,25%,1
sub42,d,s,25%,75%,0.9166666666666666
sub42,d,s,75%,25%,0.8333333333333334
sub42,d,s,75%,75%,1
sub42,n,r,25%,25%,1
sub42,n,r,25%,75%,1
sub42,n,r,75%,25%,1
sub42,n,r,75%,75%,0.9166666666666666
sub42,n,s,25%,25%,0.9166666666666666
sub42,n,s,25%,75%,0.9166666666666666
sub42,n,s,75%,25%,0.9166666666666666
sub42,n,s,75%,75%,0.6666666666666666
sub43,d,r,25%,25%,0.8333333333333334
sub43,d,r,25%,75%,1
sub43,d,r,75%,25%,0.8333333333333334
sub43,d,r,75%,75%,0.75
sub43,d,s,25%,25%,0.5833333333333334
sub43,d,s,25%,75%,0.8333333333333334
sub43,d,s,75%,25%,1
sub43,d,s,75%,75%,0.8333333333333334
sub43,n,r,25%,25%,0.8333333333333334
sub43,n,r,25%,75%,0.9166666666666666
sub43,n,r,75%,25%,0.8333333333333334
sub43,n,r,75%,75%,1
sub43,n,s,25%,25%,0.4166666666666667
sub43,n,s,25%,75%,1
sub43,n,s,75%,25%,1
sub43,n,s,75%,75%,1
sub44,d,r,25%,25%,1
sub44,d,r,25%,75%,0.9166666666666666
sub44,d,r,75%,25%,0.9166666666666666
sub44,d,r,75%,75%,1
sub44,d,s,25%,25%,0.8333333333333334
sub44,d,s,25%,75%,1
sub44,d,s,75%,25%,0.75
sub44,d,s,75%,75%,1
sub44,n,r,25%,25%,1
sub44,n,r,25%,75%,1
sub44,n,r,75%,25%,0.9166666666666666
sub44,n,r,75%,75%,1
sub44,n,s,25%,25%,0.9166666666666666
sub44,n,s,25%,75%,0.9166666666666666
sub44,n,s,75%,25%,1
sub44,n,s,75%,75%,1
sub45,d,r,25%,25%,1
sub45,d,r,25%,75%,1
sub45,d,r,75%,25%,0.75
sub45,d,r,75%,75%,1
sub45,d,s,25%,25%,1
sub45,d,s,25%,75%,0.8333333333333334
sub45,d,s,75%,25%,0.9166666666666666
sub45,d,s,75%,75%,1
sub45,n,r,25%,25%,1
sub45,n,r,25%,75%,0.9166666666666666
sub45,n,r,75%,25%,1
sub45,n,r,75%,75%,0.9166666666666666
sub45,n,s,25%,25%,1
sub45,n,s,25%,75%,0.8333333333333334
sub45,n,s,75%,25%,0.6666666666666666
sub45,n,s,75%,75%,0.8333333333333334
sub46,d,r,25%,25%,0.8333333333333334
sub46,d,r,25%,75%,1
sub46,d,r,75%,25%,0.9166666666666666
sub46,d,r,75%,75%,0.9166666666666666
sub46,d,s,25%,25%,0.6666666666666666
sub46,d,s,25%,75%,0.9166666666666666
sub46,d,s,75%,25%,0.8333333333333334
sub46,d,s,75%,75%,1
sub46,n,r,25%,25%,1
sub46,n,r,25%,75%,1
sub46,n,r,75%,25%,0.9166666666666666
sub46,n,r,75%,75%,1
sub46,n,s,25%,25%,0.9166666666666666
sub46,n,s,25%,75%,1
sub46,n,s,75%,25%,0.5833333333333334
sub46,n,s,75%,75%,1
sub47,d,r,25%,25%,1
sub47,d,r,25%,75%,1
sub47,d,r,75%,25%,1
sub47,d,r,75%,75%,1
sub47,d,s,25%,25%,0.9166666666666666
sub47,d,s,25%,75%,0.8333333333333334
sub47,d,s,75%,25%,0.9166666666666666
sub47,d,s,75%,75%,0.9166666666666666
sub47,n,r,25%,25%,0.9166666666666666
sub47,n,r,25%,75%,0.9166666666666666
sub47,n,r,75%,25%,0.9166666666666666
sub47,n,r,75%,75%,1
sub47,n,s,25%,25%,0.8333333333333334
sub47,n,s,25%,75%,1
sub47,n,s,75%,25%,1
sub47,n,s,75%,75%,0.9166666666666666
sub48,d,r,25%,25%,1
sub48,d,r,25%,75%,0.9166666666666666
sub48,d,r,75%,25%,0.5
sub48,d,r,75%,75%,0.8333333333333334
sub48,d,s,25%,25%,0.9166666666666666
sub48,d,s,25%,75%,0.8333333333333334
sub48,d,s,75%,25%,0.5833333333333334
sub48,d,s,75%,75%,0.75
sub48,n,r,25%,25%,0.9166666666666666
sub48,n,r,25%,75%,0.9166666666666666
sub48,n,r,75%,25%,0.8333333333333334
sub48,n,r,75%,75%,0.8333333333333334
sub48,n,s,25%,25%,0.8333333333333334
sub48,n,s,25%,75%,0.8333333333333334
sub48,n,s,75%,25%,0.6666666666666666
sub48,n,s,75%,75%,0.8333333333333334
sub49,d,r,25%,25%,1
sub49,d,r,25%,75%,0.9166666666666666
sub49,d,r,75%,25%,1
sub49,d,r,75%,75%,0.75
sub49,d,s,25%,25%,0.9166666666666666
sub49,d,s,25%,75%,0.8333333333333334
sub49,d,s,75%,25%,1
sub49,d,s,75%,75%,1
sub49,n,r,25%,25%,1
sub49,n,r,25%,75%,1
sub49,n,r,75%,25%,0.9166666666666666
sub49,n,r,75%,75%,1
sub49,n,s,25%,25%,0.9166666666666666
sub49,n,s,25%,75%,0.9166666666666666
sub49,n,s,75%,25%,0.9166666666666666
sub49,n,s,75%,75%,0.8333333333333334
sub5,d,r,25%,25%,0.9166666666666666
sub5,d,r,25%,75%,1
sub5,d,r,75%,25%,0.9166666666666666
sub5,d,r,75%,75%,1
sub5,d,s,25%,25%,0.8333333333333334
sub5,d,s,25%,75%,1
sub5,d,s,75%,25%,1
sub5,d,s,75%,75%,1
sub5,n,r,25%,25%,1
sub5,n,r,25%,75%,1
sub5,n,r,75%,25%,0.9166666666666666
sub5,n,r,75%,75%,1
sub5,n,s,25%,25%,0.9166666666666666
sub5,n,s,25%,75%,1
sub5,n,s,75%,25%,1
sub5,n,s,75%,75%,1
sub50,d,r,25%,25%,0.75
sub50,d,r,25%,75%,1
sub50,d,r,75%,25%,1
sub50,d,r,75%,75%,0.8333333333333334
sub50,d,s,25%,25%,0.9166666666666666
sub50,d,s,25%,75%,0.75
sub50,d,s,75%,25%,0.8333333333333334
sub50,d,s,75%,75%,0.8333333333333334
sub50,n,r,25%,25%,0.9166666666666666
sub50,n,r,25%,75%,1
sub50,n,r,75%,25%,0.8333333333333334
sub50,n,r,75%,75%,0.9166666666666666
sub50,n,s,25%,25%,0.9166666666666666
sub50,n,s,25%,75%,0.9166666666666666
sub50,n,s,75%,25%,0.9166666666666666
sub50,n,s,75%,75%,0.6666666666666666
sub51,d,r,25%,25%,0.6666666666666666
sub51,d,r,25%,75%,0.8333333333333334
sub51,d,r,75%,25%,1
sub51,d,r,75%,75%,0.9166666666666666
sub51,d,s,25%,25%,0.5
sub51,d,s,25%,75%,0.8333333333333334
sub51,d,s,75%,25%,0.9166666666666666
sub51,d,s,75%,75%,0.8333333333333334
sub51,n,r,25%,25%,0.9166666666666666
sub51,n,r,25%,75%,0.9166666666666666
sub51,n,r,75%,25%,0.9166666666666666
sub51,n,r,75%,75%,0.9166666666666666
sub51,n,s,25%,25%,0.9166666666666666
sub51,n,s,25%,75%,0.9166666666666666
sub51,n,s,75%,25%,0.9166666666666666
sub51,n,s,75%,75%,0.9166666666666666
sub52,d,r,25%,25%,1
sub52,d,r,25%,75%,1
sub52,d,r,75%,25%,1
sub52,d,r,75%,75%,1
sub52,d,s,25%,25%,1
sub52,d,s,25%,75%,1
sub52,d,s,75%,25%,1
sub52,d,s,75%,75%,1
sub52,n,r,25%,25%,1
sub52,n,r,25%,75%,0.8333333333333334
sub52,n,r,75%,25%,1
sub52,n,r,75%,75%,1
sub52,n,s,25%,25%,0.9166666666666666
sub52,n,s,25%,75%,1
sub52,n,s,75%,25%,0.8333333333333334
sub52,n,s,75%,75%,1
sub53,d,r,25%,25%,0.75
sub53,d,r,25%,75%,0.9166666666666666
sub53,d,r,75%,25%,0.8333333333333334
sub53,d,r,75%,75%,0.75
sub53,d,s,25%,25%,0.8333333333333334
sub53,d,s,25%,75%,0.8333333333333334
sub53,d,s,75%,25%,0.75
sub53,d,s,75%,75%,0.9166666666666666
sub53,n,r,25%,25%,0.8333333333333334
sub53,n,r,25%,75%,1
sub53,n,r,75%,25%,1
sub53,n,r,75%,75%,1
sub53,n,s,25%,25%,0.75
sub53,n,s,25%,75%,1
sub53,n,s,75%,25%,0.9166666666666666
sub53,n,s,75%,75%,0.9166666666666666
sub54,d,r,25%,25%,0.75
sub54,d,r,25%,75%,0.9166666666666666
sub54,d,r,75%,25%,0.5833333333333334
sub54,d,r,75%,75%,0.9166666666666666
sub54,d,s,25%,25%,0.3333333333333333
sub54,d,s,25%,75%,0.9166666666666666
sub54,d,s,75%,25%,0.6666666666666666
sub54,d,s,75%,75%,1
sub54,n,r,25%,25%,0.5833333333333334
sub54,n,r,25%,75%,0.9166666666666666
sub54,n,r,75%,25%,0.5
sub54,n,r,75%,75%,0.9166666666666666
sub54,n,s,25%,25%,0.4166666666666667
sub54,n,s,25%,75%,0.9166666666666666
sub54,n,s,75%,25%,0.75
sub54,n,s,75%,75%,0.9166666666666666
sub55,d,r,25%,25%,0.9166666666666666
sub55,d,r,25%,75%,1
sub55,d,r,75%,25%,1
sub55,d,r,75%,75%,1
sub55,d,s,25%,25%,1
sub55,d,s,25%,75%,1
sub55,d,s,75%,25%,1
sub55,d,s,75%,75%,0.9166666666666666
sub55,n,r,25%,25%,1
sub55,n,r,25%,75%,0.8333333333333334
sub55,n,r,75%,25%,1
sub55,n,r,75%,75%,1
sub55,n,s,25%,25%,1
sub55,n,s,25%,75%,0.9166666666666666
sub55,n,s,75%,25%,1
sub55,n,s,75%,75%,1
sub56,d,r,25%,25%,1
sub56,d,r,25%,75%,0.9166666666666666
sub56,d,r,75%,25%,0.75
sub56,d,r,75%,75%,1
sub56,d,s,25%,25%,0.8333333333333334
sub56,d,s,25%,75%,0.9166666666666666
sub56,d,s,75%,25%,0.9166666666666666
sub56,d,s,75%,75%,0.8333333333333334
sub56,n,r,25%,25%,0.9166666666666666
sub56,n,r,25%,75%,1
sub56,n,r,75%,25%,1
sub56,n,r,75%,75%,0.9166666666666666
sub56,n,s,25%,25%,0.9166666666666666
sub56,n,s,25%,75%,0.8333333333333334
sub56,n,s,75%,25%,1
sub56,n,s,75%,75%,0.8333333333333334
sub57,d,r,25%,25%,0.9166666666666666
sub57,d,r,25%,75%,1
sub57,d,r,75%,25%,1
sub57,d,r,75%,75%,0.9166666666666666
sub57,d,s,25%,25%,1
sub57,d,s,25%,75%,0.9166666666666666
sub57,d,s,75%,25%,1
sub57,d,s,75%,75%,0.75
sub57,n,r,25%,25%,1
sub57,n,r,25%,75%,1
sub57,n,r,75%,25%,0.9166666666666666
sub57,n,r,75%,75%,1
sub57,n,s,25%,25%,0.9166666666666666
sub57,n,s,25%,75%,1
sub57,n,s,75%,25%,1
sub57,n,s,75%,75%,0.9166666666666666
sub58,d,r,25%,25%,0.8333333333333334
sub58,d,r,25%,75%,1
sub58,d,r,75%,25%,1
sub58,d,r,75%,75%,1
sub58,d,s,25%,25%,0.8333333333333334
sub58,d,s,25%,75%,0.75
sub58,d,s,75%,25%,0.8333333333333334
sub58,d,s,75%,75%,0.8333333333333334
sub58,n,r,25%,25%,0.9166666666666666
sub58,n,r,25%,75%,0.8333333333333334
sub58,n,r,75%,25%,0.9166666666666666
sub58,n,r,75%,75%,0.9166666666666666
sub58,n,s,25%,25%,0.9166666666666666
sub58,n,s,25%,75%,0.8333333333333334
sub58,n,s,75%,25%,1
sub58,n,s,75%,75%,1
sub59,d,r,25%,25%,0.9166666666666666
sub59,d,r,25%,75%,1
sub59,d,r,75%,25%,0.9166666666666666
sub59,d,r,75%,75%,1
sub59,d,s,25%,25%,0.9166666666666666
sub59,d,s,25%,75%,1
sub59,d,s,75%,25%,0.9166666666666666
sub59,d,s,75%,75%,1
sub59,n,r,25%,25%,0.9166666666666666
sub59,n,r,25%,75%,0.8333333333333334
sub59,n,r,75%,25%,1
sub59,n,r,75%,75%,1
sub59,n,s,25%,25%,0.9166666666666666
sub59,n,s,25%,75%,1
sub59,n,s,75%,25%,0.9166666666666666
sub59,n,s,75%,75%,0.9166666666666666
sub6,d,r,25%,25%,1
sub6,d,r,25%,75%,0.8333333333333334
sub6,d,r,75%,25%,1
sub6,d,r,75%,75%,0.8333333333333334
sub6,d,s,25%,25%,1
sub6,d,s,25%,75%,0.75
sub6,d,s,75%,25%,1
sub6,d,s,75%,75%,1
sub6,n,r,25%,25%,1
sub6,n,r,25%,75%,0.9166666666666666
sub6,n,r,75%,25%,0.9166666666666666
sub6,n,r,75%,75%,1
sub6,n,s,25%,25%,1
sub6,n,s,25%,75%,0.8333333333333334
sub6,n,s,75%,25%,0.9166666666666666
sub6,n,s,75%,75%,0.9166666666666666
sub60,d,r,25%,25%,0.9166666666666666
sub60,d,r,25%,75%,0.75
sub60,d,r,75%,25%,0.75
sub60,d,r,75%,75%,1
sub60,d,s,25%,25%,0.8333333333333334
sub60,d,s,25%,75%,1
sub60,d,s,75%,25%,0.9166666666666666
sub60,d,s,75%,75%,1
sub60,n,r,25%,25%,0.9166666666666666
sub60,n,r,25%,75%,0.9166666666666666
sub60,n,r,75%,25%,0.9166666666666666
sub60,n,r,75%,75%,0.8333333333333334
sub60,n,s,25%,25%,0.8333333333333334
sub60,n,s,25%,75%,0.9166666666666666
sub60,n,s,75%,25%,0.9166666666666666
sub60,n,s,75%,75%,0.9166666666666666
sub7,d,r,25%,25%,0.9166666666666666
sub7,d,r,25%,75%,1
sub7,d,r,75%,25%,0.8333333333333334
sub7,d,r,75%,75%,1
sub7,d,s,25%,25%,0.8333333333333334
sub7,d,s,25%,75%,1
sub7,d,s,75%,25%,0.9166666666666666
sub7,d,s,75%,75%,0.9166666666666666
sub7,n,r,25%,25%,1
sub7,n,r,25%,75%,1
sub7,n,r,75%,25%,1
sub7,n,r,75%,75%,0.9166666666666666
sub7,n,s,25%,25%,1
sub7,n,s,25%,75%,1
sub7,n,s,75%,25%,1
sub7,n,s,75%,75%,0.8333333333333334
sub8,d,r,25%,25%,0.8333333333333334
sub8,d,r,25%,75%,1
sub8,d,r,75%,25%,1
sub8,d,r,75%,75%,0.9166666666666666
sub8,d,s,25%,25%,1
sub8,d,s,25%,75%,0.9166666666666666
sub8,d,s,75%,25%,0.9166666666666666
sub8,d,s,75%,75%,0.6666666666666666
sub8,n,r,25%,25%,1
sub8,n,r,25%,75%,1
sub8,n,r,75%,25%,0.8333333333333334
sub8,n,r,75%,75%,0.9166666666666666
sub8,n,s,25%,25%,1
sub8,n,s,25%,75%,0.9166666666666666
sub8,n,s,75%,25%,0.8333333333333334
sub8,n,s,75%,75%,1
sub9,d,r,25%,25%,0.8333333333333334
sub9,d,r,25%,75%,0.8333333333333334
sub9,d,r,75%,25%,0.6666666666666666
sub9,d,r,75%,75%,0.9166666666666666
sub9,d,s,25%,25%,0.9166666666666666
sub9,d,s,25%,75%,1
sub9,d,s,75%,25%,0.8333333333333334
sub9,d,s,75%,75%,0.9166666666666666
sub9,n,r,25%,25%,0.8333333333333334
sub9,n,r,25%,75%,1
sub9,n,r,75%,25%,0.8333333333333334
sub9,n,r,75%,75%,0.9166666666666666
sub9,n,s,25%,25%,0.8333333333333334
sub9,n,s,25%,75%,1
sub9,n,s,75%,25%,0.8333333333333334
sub9,n,s,75%,75%,0.75
